audio file path;album metadata;album directory
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins - Lightnin's Blues.mp3;The Rising Sun Collection Vol. 11;The Rising Sun Collection Vol. 11
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins - Shotgun Blues.mp3;Best Of The Blues, Vol. 1;Best Of The Blues, Vol. 1
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins - Suicide Blues.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins - Trouble In Mind.mp3;The Rising Sun Collection Vol. 11;The Rising Sun Collection Vol. 11
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins - Your Own Fault Baby To Treat Me The Way You Do.mp3;The Blues For The Road;The Blues For The Road
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins-Awful Dreams.mp3;Denim Blues;Denim Blues
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins-Black Cat Blues.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins-Let Me Play With Your Poodle.mp3;Nothin' But The Blues;Nothin' But The Blues
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins-Shine On Moon.mp3;Travelin' Blues;Travelin' Blues
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins-Short Haired Woman.mp3;Nothin' But The Blues;Nothin' But The Blues
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins-Shotgun.mp3;Whole Lotta...Blues - Legends Of Texas Blues;Whole Lotta...Blues - Legends Of Texas Blues
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins-Wonder Why.mp3;The Blues As It Was;The Blues As It Was
C:\Music\Lindsey Buckingham\Lindsey Buckingham-Trouble.mp3;Law And Order;Law And Order
C:\Music\Lisa Brokop\Lisa Brokop-Faith, Hope & Love (Not So Far Away).mp3;Hey Do You Know Me;Hey Do You Know Me
C:\Music\Lisa Brokop\Lisa Brokop-I'd Like To See You Try.mp3;Undeniable;Undeniable
C:\Music\Lisa Brokop\Lisa Brokop-Take That.mp3;Give Me a Ring Sometime;Give Me a Ring Sometime
C:\Music\Little Junior Parker\Little Junior Parker - Don't Throw Your Love On Me So Strong.mp3;Blues In The Night;Blues In The Night
C:\Music\Little Junior Parker\Little Junior Parker - Hey Pretty Baby.mp3;Blues In The Night;Blues In The Night
C:\Music\Little Junior Parker\Little Junior Parker - I Need Your Love So Bad.mp3;Blues In The Night;Blues In The Night
C:\Music\Little Milton\Little Milton-A Touch Of The Blues.mp3;Greatest Blues Legends;Greatest Blues Legends
C:\Music\Little Milton\Little Milton-Blind Man.mp3;Blues Favorites;Blues Favorites
C:\Music\Little Milton\Little Milton-We're Gonna Make It.mp3;Blues Legends;Blues Legends
C:\Music\Little Miss Higgins\Little Miss Higgins - St. Louis Blues.mp3;Junction City;Junction City
C:\Music\Little Miss Higgins\Little Miss Higgins - The Dirty Ol Tractor Song (Live).mp3;Two Nights In March (Live);Two Nights In March (Live)
C:\Music\Little Miss Higgins\Little Miss Higgins - Wash These Blues Away.mp3;Across the Plains;Across the Plains
C:\Music\Little Miss Higgins\Little Miss Higgins-Broadcast Boogie.mp3;Live: Two Nights in March;Live- Two Nights in March
C:\Music\Little Miss Higgins\Little Miss Higgins-Give Your Mama One Smile.mp3;Cobbler Shop Sessions;Cobbler Shop Sessions
